Group,Similar Phrases
NEDVEX,NEDVEX
"Скорее пишите нам, если:","Скорее пишите нам, если:"
Описание:,"Описание:, Описание вакансии:, Описание компании:"
ВАШИ ОБЯЗАННОСТИ,"ВАШИ ОБЯЗАННОСТИ, Обязанности:, 3. Обязанности, ОБЯЗАННОСТИ:, Ваши обязанности - это ваши возможности:, ВАШИ ОБЯЗАННОСТИ:, В Ваши обязанности будет входить:, Обязанности"
Working conditions:,Working conditions:
Мы можем предложить:,"Мы можем предложить:, ЧТО МЫ МОЖЕМ ВАМ ПРЕДЛОЖИТЬ:, Что мы можем тебе предложить:, Что мы можем предложить:, Что мы можем предложить?, Можем предложить:"
About project:,About project:
"Если увидел в этом описании себя - скорее откликайся, чтобы стать частью нашей команды!","Если увидел в этом описании себя - скорее откликайся, чтобы стать частью нашей команды!"
Кого мы видим на данной должности:,Кого мы видим на данной должности:
Наши направления:,Наши направления:
Что мы предлагаем?,"Что мы предлагаем?, Что мы предлагаем, ЧТО МЫ ПРЕДЛАГАЕМ:, Мы предлагаем :, Что мы предлагаем взамен:, Мы предлагаем, Что предлагаем :, МЫ ПРЕДЛАГАЕМ:, Что предлагаем, ЧТО МЫ ВАМ ПРЕДЛАГАЕМ, ПРЕДЛАГАЕМ, Мы предлагаем:, ПРЕДЛАГАЕМ:, Что предлагаем:, Что предлагаем мы:, Что мы предлагаем:, А что мы предлагаем для тебя?, Что мы Вам предлагаем:, ЧТО ПРЕДЛАГАЕМ, МЫ ПРЕДЛАГАЕМ"
КАКИЕ ЗНАНИЯ И НАВЫКИ ДЛЯ НАС ВАЖНЫ:,"КАКИЕ ЗНАНИЯ И НАВЫКИ ДЛЯ НАС ВАЖНЫ:, ДЛЯ НАС ВАЖНЫ, Какие знания и навыки для нас важны:, Какие знания и навыки нам важны:, Для нас важны:, ДЛЯ НАС ВАЖНЫ:"
Условия,"Условия, УСЛОВИЯ:, 4. Условия работы, Условия работы:, Условия работы, Условия:, Наши условия:, Наши Условия:"
С,С
Базовые задачи:,Базовые задачи:
С какими вызовами сталкивается ИТ-департамент:,С какими вызовами сталкивается ИТ-департамент:
Плюсами будет:,Плюсами будет:
Но хотелось бы найти своего человека,Но хотелось бы найти своего человека
What Makes You a Perfect Fit:,What Makes You a Perfect Fit:
"Что вы получаете, работая с нами:","Что вы получаете, работая с нами:, Что Вы получаете, работая у нас:"
Понадобится:,Понадобится:
Причины работать с нами:,Причины работать с нами:
Работая в Группе &quot;СОГАЗ&quot; вы получите,Работая в Группе &quot;СОГАЗ&quot; вы получите
Что нужно знать и уметь:,"Что нужно знать и уметь:, Что необходимо знать/уметь:, Что нужно знать:, Что нужно знать?, ЧТО НЕОБХОДИМО УМЕТЬ И ЗНАТЬ, Что нужно уметь"
"Мы точно найдем общий язык, если у тебя есть:","Мы точно найдем общий язык, если у тебя есть:"
Area of responsibility:,Area of responsibility:
Фиксированный оклад: от 100 000 до 150 000 рублей,Фиксированный оклад: от 100 000 до 150 000 рублей
Ваши задачи на этой роли:,Ваши задачи на этой роли:
Discover your Fit,Discover your Fit
МосТрансПроект,МосТрансПроект
We Offer:,"We Offer:, What We Offer:, We offer, What we offer:, We offer:"
Что мы готовы предложить:,"Что мы готовы предложить:, Мы готовы предложить:, ЧТО МЫ ГОТОВЫ ВАМ ПРЕДЛОЖИТЬ"
Что нужно для этой работы:,"Что нужно для этой работы:, ЧТО НУЖНО ДЛЯ ЭТОЙ РАБОТЫ"
МЫ ЦЕНИМ В КАНДИДАТЕ:,МЫ ЦЕНИМ В КАНДИДАТЕ:
Почему стоит обратиться именно к нам?,Почему стоит обратиться именно к нам?
Ищем в штат специалиста для организации и контроля продаж на стыке IT и маркетинга!!!,Ищем в штат специалиста для организации и контроля продаж на стыке IT и маркетинга!!!
Необходимый минимум знаний и навыков для участия:,Необходимый минимум знаний и навыков для участия:
Ждем Ваших откликов!,"Ждем Ваших откликов!, Ждем ваших откликов!"
ОТ ВАС МЫ ЖЕЛАЕМ ВИДЕТЬ:,ОТ ВАС МЫ ЖЕЛАЕМ ВИДЕТЬ:
"Привет! Мы - Wildberries, крупнейший маркетплейс Европы, 30 млн пользователей ежедневно и технологические задачи, у которых нет аналогов. Наша компания стабильно развивается и работает в усиленном режиме: использует современный стек и новейшие технологии, разрабатывает множество новых hi-tech продуктов.","Привет! Мы - Wildberries, крупнейший маркетплейс Европы, 30 млн пользователей ежедневно и технологические задачи, у которых нет аналогов. Наша компания стабильно развивается и работает в усиленном режиме: использует современный стек и новейшие технологии, разрабатывает множество новых hi-tech продуктов."
Анализ и управление потоками данных:,Анализ и управление потоками данных:
Ваши задачи в LITOKOL:,Ваши задачи в LITOKOL:
* Комфорт,* Комфорт
"ЮНИКОН в России – крупнейшая национальная компания в области предоставления аудиторских и консалтинговых услуг, открывает позицию ассистента в отдел консультирования, аудита и оценки рисков в области ИТ.","ЮНИКОН в России – крупнейшая национальная компания в области предоставления аудиторских и консалтинговых услуг, открывает позицию ассистента в отдел консультирования, аудита и оценки рисков в области ИТ., ЮНИКОН в России – крупнейшая национальная компания в области предоставления аудиторских и консалтинговых услуг, открывает позицию специалиста в отдел консультирования, аудита и оценки рисков в области ИТ в своем офисе в Москве."
Зачем?,Зачем?
резидент Сколково.,резидент Сколково.
Задачи,"Задачи, Задачи:, ЗАДАЧИ:, Задачи :"
"Плюсом будет, если есть <em>опыт</em> работы с GRPC, WebRTC, LiveKit и можете читать код бэкенда, он у нас на Go.","Плюсом будет, если есть <em>опыт</em> работы с GRPC, WebRTC, LiveKit и можете читать код бэкенда, он у нас на Go."
"Классно, если у тебя есть:","Классно, если у тебя есть:"
"Стек и инструменты, которые ты будешь использовать в работе:","Стек и инструменты, которые ты будешь использовать в работе:"
Innostage (Инностейдж),Innostage (Инностейдж)
Вас ждет:,"Вас ждет:, Что Вас ждет:, Компания ждет от вас:, Что вас ждет:"
"Окей, а что вы мне?","Окей, а что вы мне?"
О проекте,"О проекте, О проекте:, о проекте"
<em>ИДЕАЛЬНЫЙ КАНДИДАТ ИМЕЕТ:</em>,"<em>ИДЕАЛЬНЫЙ КАНДИДАТ ИМЕЕТ:</em>, <em>Наш идеальный кандидат:</em>, <em>Идеальный кандидат</em>, Идеальный кандидат имеет:"
Требуемые знания и навыки,"Требуемые знания и навыки, Требуемые навыки и опыт:, Требуемые навыки и знания:, Знания и навыки:, Требуемые знания:<br />•"
Команда Практики Корпоративных Систем ГК «Ramax» приглашает стажера бизнес-аналитика BI систем.,"Команда Практики Корпоративных Систем ГК «Ramax» приглашает стажера бизнес-аналитика BI систем., Команда Практики Корпоративных Систем ГК «Ramax» приглашает Архитектора BI решений."
Для нас привлекательны следующие знания и опыт:,Для нас привлекательны следующие знания и опыт:
"Пожалуйста, укажите в своем сопроводительном письме информацию о вашем опыте работы с AI/LLM, проекты на базе искусственного интеллекта","Пожалуйста, укажите в своем сопроводительном письме информацию о вашем опыте работы с AI/LLM, проекты на базе искусственного интеллекта"
"Наши клиники в Санкт-Петербурге основаны в 2018 году, в Москве в 2023 году.","Наши клиники в Санкт-Петербурге основаны в 2018 году, в Москве в 2023 году."
Организовать регулярные мероприятия:,Организовать регулярные мероприятия:
Обучение сотрудников работе с процессами,Обучение сотрудников работе с процессами
